,movie,year,imdb,votes,URL
78,Batman v Superman: Dawn of Justice,(2016),6.4,700114,https://www.imdb.com/title/tt2975590/
79,Total Recall,(1990),7.5,332664,https://www.imdb.com/title/tt0100802/
80,Spectre,(I) (2015),6.8,441727,https://www.imdb.com/title/tt2379713/
81,Spotlight,(I) (2015),8.1,470413,https://www.imdb.com/title/tt1895587/
82,Under the Silver Lake,(2018),6.5,43695,https://www.imdb.com/title/tt5691670/
83,The Contractor,(2022),5.8,21119,https://www.imdb.com/title/tt10323676/
84,The Man from U.N.C.L.E.,(2015),7.2,309751,https://www.imdb.com/title/tt1638355/
85,Transformers: Dark of the Moon,(2011),6.2,410339,https://www.imdb.com/title/tt1399103/
86,Lucy,(I) (2014),6.4,498282,https://www.imdb.com/title/tt2872732/
87,JFK,(1991),8.0,157408,https://www.imdb.com/title/tt0102138/
88,The Old Guard,(2020),6.6,166047,https://www.imdb.com/title/tt7556122/
89,Pain & Gain,(2013),6.4,218785,https://www.imdb.com/title/tt1980209/
90,The Lives of Others,(2006),8.4,390214,https://www.imdb.com/title/tt0405094/
91,10 Cloverfield Lane,(2016),7.2,329447,https://www.imdb.com/title/tt1179933/
92,Brightburn,(2019),6.1,99185,https://www.imdb.com/title/tt7752126/
93,The Fugitive,(1993),7.8,296805,https://www.imdb.com/title/tt0106977/
94,Captain America: The Winter Soldier,(2014),7.8,845174,https://www.imdb.com/title/tt1843866/
95,Jurassic World: Fallen Kingdom,(2018),6.1,317580,https://www.imdb.com/title/tt4881806/
96,The 355,(2022),5.5,29843,https://www.imdb.com/title/tt8356942/
97,Crisis,(2021),6.2,10730,https://www.imdb.com/title/tt9731682/
98,"Monsters, Inc.",(2001),8.1,907867,https://www.imdb.com/title/tt0198781/
99,Hot Fuzz,(2007),7.8,506952,https://www.imdb.com/title/tt0425112/
